version,date,cohorts,rows,sha256,archived_file,note
1,2026-06-24,64,2749,(historical),(not archived),initial headless Connect pull -> CONNECT_SNAP fallback (pre ABT3/2WT/EXT)
2,2026-08-04,72,3961,98b9236e4772bf37,connect_user_data_snapshot_v2_2026-08-04.csv,onboarded ABT3/2WT/EXT; Connect OAuth app + token re-auth
